query_id,ground_truth
1a1fc874-e62d-4a6e-8072-e70415721d22,transferring_object
7d6c9633-6bda-406f-85b6-6b88609e9450,pulling
a24c28b7-a1bd-416c-bf8a-80e6ea16ffb9,using_pc
fc3b29f4-c93d-4e11-a5fd-63fd4ebfe37a,pocket_out
109f922f-ba78-4a1a-99f7-20d39050572d,pocket_out
36a32e52-39cc-4156-98d3-36f19d8c24b4,jumping
5c698768-3288-4b40-b4d5-e231cd59c43c,Carrying_light
0ddd1203-15c0-467c-bc63-36eb72da3350,transferring_object
689d0a71-d58e-475c-809a-d6130cb1979c,pulling
e493b519-490f-468b-b02f-6a7b25e21bba,looking_around
9ac7ac95-7a3f-452e-992c-ad2e10a4a85d,carrying
8ae9775e-fca2-4ca6-bd9d-4700d5ec95e4,pocket_in
a25d3198-1dd6-491d-9edd-520ef571be49,crouching
995ca03e-9381-423d-b9a8-f30ae3c0d425,drinking
5c5e8971-0f27-48e6-86fa-ac9cb7a26931,fall
ccc5a5da-1dcb-49fd-86d1-866f0f241802,picking_up
d66a1cbe-2ed0-4055-8960-33b3abae0575,talking
f4815305-b085-4cf5-b4a8-968370dd7fa4,fall
804bb59d-7b76-4242-9838-3dcfaec55b45,using_phone
e51845b4-77d9-4c38-95fb-89fdedfbf95d,picking_up
7c4518c9-5fbf-4d86-9df4-0734f4572a8f,closing
54d7974f-0cb7-4c30-bf5b-342d3b956037,loitering
62a58a68-93ee-4093-8efe-98ccd780e0c1,checking_time
45bce2a4-6104-4570-86d7-dbc5f6f0f70d,waving_hand
2431fbee-e95a-4b5c-92f8-2b337d9476a3,Carrying_light
08a85ac7-388b-4f1f-b86f-ce05d8930edd,sitting
4bcbf3ad-4132-4a11-821c-ad152b1d5e33,picking_up
2b16ec2b-4002-448f-90f0-0ca890d26523,pulling
cb0388b4-9f18-4950-9a63-4eba4f4ddfda,using_phone
e9e4e5a6-10ae-49d5-bfff-44be4939ebd0,using_pc
59f305b0-64dc-41b5-86b1-1e581a199f60,closing
96bbfd6b-4437-4fba-8e2d-841c9b851939,transferring_object
cf4fe9e0-7cdc-467a-8082-edb5f8d3ba6a,drinking
58a7c4e6-ff0f-4f95-80f0-4927c23495b9,standing
df6bafeb-ee1b-4039-b07e-c162c64943dd,kicking
ac28ef86-9dc1-43bf-a790-3f30527c6a8e,pocket_out
79d203c1-9129-4bbf-b4c9-45e711499ce0,throwing
273a5906-6b77-43b9-99f3-7fa39184cd1a,drinking
38a490e8-9204-487b-a3a7-5b193faf2cc4,closing
06c9a804-f95e-4226-8d56-10851eb516ea,carrying_light
7b0d03a2-ccb7-4343-a664-0370fbee3a6d,talking
a225065d-bc1e-4400-b0a5-6ad835fa36e2,checking_time
267f4fa3-11d3-43be-8d2e-75ec0343d206,entering
7421a2d9-70c6-4037-afa5-5fe9298b51dd,Carrying_light
7de8b86b-5dda-4571-a76f-d4ac9772e6f5,checking_time
8ce39b02-1ecd-4192-a004-f89d95a51897,standing_up
134f7057-237d-4f71-bf21-2b7de351e6a2,transferring_object
315983f8-ec19-4ccc-86cb-047e35419182,sitting
23b9afe1-77d3-41b5-9feb-7d7629fec5cb,running
