core1,core2,core3,core4,mem,gpu,norm_ex_time
75.93,72.07,19.5,25.08,204.68,3.75,325
74.98,67.94,20.06,26.12,186.15,3.91,326
74.92,71.46,16.7,26.4,198.21,3.28,327
75.05,75.0,18.39,23.74,201.99,3.64,328
75.59,68.22,18.45,23.14,192.17,3.47,329
74.88,68.95,20.63,23.81,225.65,3.77,330
75.44,71.03,18.52,26.47,214.41,3.69,331
75.64,68.67,19.38,23.2,196.01,3.56,332
75.27,64.57,19.52,24.22,206.03,3.54,333
74.84,68.22,19.45,20.39,178.39,3.61,334
75.1,73.17,21.31,25.45,208.18,3.61,335
75.18,70.45,19.25,25.25,217.82,4.09,336
74.99,67.43,20.07,25.93,183.62,3.84,337
74.91,65.11,18.45,25.45,199.72,3.56,338
75.45,72.88,20.69,26.02,177.68,3.6,339
75.31,70.03,17.91,24.7,188.08,3.67,340
75.77,68.31,19.4,25.04,211.74,3.6,341
74.65,72.47,20.66,25.97,202.28,3.53,342
75.74,72.99,17.47,22.48,204.99,3.63,343
74.92,66.81,20.06,23.57,192.09,3.72,344
76.99,67.06,20.02,21.63,215.93,3.81,345
74.84,65.18,20.98,22.2,200.63,3.08,346
75.56,64.44,19.85,20.6,199.67,3.91,347
75.13,65.59,19.66,20.76,180.74,3.46,348
75.2,64.2,20.3,20.57,192.87,3.64,349
75.29,65.47,19.36,19.67,200.11,3.63,350
74.95,60.8,19.46,20.46,204.13,3.2,351
74.92,62.04,19.97,12.43,207.2,3.52,352
75.48,63.42,22.08,21.63,140.86,3.38,353
75.24,66.66,20.29,21.38,181.66,3.47,354
74.92,62.38,20.11,22.29,177.68,3.81,355
75.3,67.88,19.75,20.03,151.51,3.79,356
75.9,71.88,20.54,19.92,180.76,3.64,357
65.57,65.73,20.42,22.0,169.2,3.86,358
69.24,65.46,20.24,19.0,134.01,3.96,359
67.1,69.38,19.41,23.08,111.66,2.97,360
63.89,69.12,20.41,20.77,208.52,3.93,361
65.15,67.74,19.82,20.96,132.31,3.41,362
66.92,71.53,20.47,21.47,179.54,3.41,363
68.18,65.0,19.76,22.4,152.78,3.74,364
