core1,core2,core3,core4,core5,core6,core7,core8,mem,gpu,norm_ex_time
29.22,9.04,7.57,2.0,0.97,3.82,1.43,1.24,44.41,3.34,409
29.33,9.04,7.9,2.11,1.23,2.16,1.1,1.44,43.85,3.2,410
29.21,8.99,7.37,1.98,1.11,2.12,0.76,1.33,50.18,3.58,411
29.49,8.77,7.75,2.09,1.32,1.96,0.65,1.68,44.93,3.59,412
29.56,8.85,7.81,2.2,1.02,2.06,0.91,1.34,44.14,3.3,413
29.43,8.81,7.68,2.0,0.96,2.39,0.67,1.42,52.51,2.01,414
29.21,8.72,7.43,1.61,0.85,1.97,0.89,1.43,42.52,3.29,415
29.43,8.96,7.68,2.08,1.17,2.03,0.77,0.59,43.99,3.17,416
29.37,8.17,7.39,2.04,1.09,1.96,0.84,1.1,45.09,2.15,417
29.41,8.77,7.4,2.01,1.28,2.12,0.74,1.21,43.84,3.29,418
29.22,8.78,7.76,1.98,1.31,2.34,1.18,1.49,43.43,3.66,419
29.55,8.26,7.26,2.3,1.3,2.27,1.07,1.21,42.43,3.45,420
29.32,9.56,5.9,2.04,0.89,2.29,1.09,1.51,43.02,3.09,421
29.27,9.07,7.23,1.96,1.91,2.2,1.03,1.32,43.22,3.13,422
29.21,9.13,7.83,2.22,1.3,1.83,1.07,1.74,42.77,4.36,423
29.38,8.86,7.35,1.64,1.17,2.11,0.91,1.18,43.66,3.12,424
29.47,8.9,7.58,2.06,1.1,1.97,1.08,1.45,43.03,3.14,425
29.41,8.87,6.05,2.06,1.28,2.02,0.88,1.15,45.07,3.11,426
29.31,8.83,7.69,1.88,1.3,1.48,1.02,1.19,45.37,3.09,427
29.55,8.75,7.73,1.91,1.24,1.97,2.04,1.64,43.91,3.35,428
24.05,8.56,7.69,2.07,1.16,2.18,0.78,1.24,40.14,3.22,429
23.94,9.04,7.82,1.84,1.15,2.14,1.05,1.41,42.76,3.38,430
24.05,8.31,7.78,1.93,0.86,2.22,0.59,1.21,44.82,2.94,431
24.13,8.57,7.56,1.9,1.03,2.21,1.03,0.86,49.34,2.31,432
24.28,8.57,7.6,2.32,1.27,1.76,1.11,0.94,48.6,2.94,433
23.78,9.86,7.56,1.73,1.17,2.08,1.0,1.07,49.22,3.65,434
23.96,9.61,7.21,1.64,1.3,2.09,1.01,1.12,49.49,3.49,435
23.76,10.4,6.86,1.79,1.33,2.22,1.24,1.33,49.36,3.32,436
23.63,10.15,7.28,1.67,1.39,1.91,0.96,1.14,49.64,3.24,437
24.01,10.55,7.04,1.72,1.16,1.93,0.57,1.12,49.39,3.79,438
23.91,9.25,7.53,1.63,1.29,2.17,1.04,1.13,49.9,3.17,439
23.57,9.8,7.45,1.58,1.18,2.05,1.02,1.32,49.92,3.42,440
24.43,9.19,7.34,1.77,1.61,2.06,0.93,0.99,49.33,2.94,441
24.14,10.08,7.21,1.8,0.73,2.11,1.21,1.21,50.38,2.85,442
23.85,10.36,7.51,1.59,0.91,2.21,1.38,0.63,49.25,2.88,443
23.92,11.29,7.38,1.53,0.9,2.21,1.28,1.01,49.21,2.79,444
23.92,10.06,8.92,1.66,1.26,1.93,1.41,1.04,49.56,3.33,445
24.24,9.37,9.65,1.76,1.13,2.29,0.86,1.16,48.89,2.77,446
23.74,10.56,9.72,1.81,1.16,2.16,1.26,1.24,48.94,2.54,447
24.07,10.31,9.55,1.66,0.68,1.98,1.12,1.04,49.38,3.09,448
31.24,10.82,9.75,1.72,0.92,1.74,0.95,0.95,49.05,2.83,449
30.58,9.41,9.38,0.44,1.12,2.1,1.32,0.93,49.5,2.87,450
30.71,10.62,9.59,2.09,0.81,2.3,1.06,1.07,54.62,2.74,451
31.21,10.08,9.6,1.98,1.02,1.94,1.01,0.98,49.45,2.57,452
34.99,9.25,8.83,1.52,1.01,2.11,1.3,0.73,49.32,2.94,453
31.3,9.49,9.99,1.83,1.2,1.8,0.9,0.8,49.69,2.77,454
31.41,10.67,9.79,1.75,0.71,2.03,1.06,1.75,41.15,2.75,455
31.48,9.26,9.06,1.61,1.1,1.72,1.14,1.55,40.69,2.65,456
31.19,9.67,9.59,1.52,1.17,1.61,1.18,1.37,40.94,3.01,457
31.51,10.82,9.76,1.76,0.92,2.0,1.14,1.64,40.98,3.08,458
31.15,7.66,9.32,1.59,0.94,1.85,1.16,1.55,41.19,3.0,459
30.64,9.17,11.22,2.01,0.93,1.58,0.83,1.85,41.07,2.98,460
31.61,9.7,10.2,2.21,0.9,1.83,1.27,1.56,40.88,2.96,461
31.39,9.68,9.9,1.88,0.95,1.86,1.28,1.38,41.01,2.95,462
31.7,9.06,9.97,1.67,0.82,1.88,0.9,1.71,40.85,2.74,463
31.12,10.52,9.24,2.1,1.09,1.93,1.26,1.4,41.08,3.05,464
31.0,9.54,9.11,1.6,0.9,2.1,0.87,1.62,40.77,2.78,465
31.08,9.2,10.03,1.94,1.1,2.03,1.06,1.76,41.18,3.01,466
31.58,8.51,9.71,2.05,1.3,2.0,1.18,1.4,39.84,3.09,467
