query_id,time_window,response_time,model_id,model_version,device_id,instance_id,explainability,data_source,inf_id,inf_result,metadata
3b9217be-5577-42b2-b035-1f98f1c6e515,3,0.0096511147336512,minirocket_v2,v2,jetson_super_nano,450c8cab-e955-4c82-9c5b-15a00332d265,True,orientation,ff6de10f-9d47-4714-a4ab-300a8d43029e,"{'loitering': 0.6454545454545455, 'jumping': 0.11818181818181818, 'pulling': 0.03636363636363636, 'standing': 0.03333333333333333, 'waving_hand': 0.030303030303030304, 'sitting': 0.02727272727272727, 'setting_down': 0.024242424242424242, 'picking_up': 0.021212121212121213, 'using_pc': 0.01818181818181818, 'talking': 0.015151515151515152, 'sitting_down': 0.012121212121212121, 'exiting': 0.00909090909090909, 'checking_time': 0.006060606060606061, 'talking_on_phone': 0.0030303030303030303, 'inf_result': 628048.502624493}",
3b9217be-5577-42b2-b035-1f98f1c6e515,10,0.0099590452448408,minirocket_v15,v15,jetson_super_nano,8fd1bd20-e8e6-4695-a287-a65ae4563d4c,False,orientation,a2c4382c-7368-44f5-a3d7-c19458c58d7a,"{'pocket_out': 0.5523809523809524, 'jumping': 0.19047619047619047, 'carrying': 0.12857142857142856, 'Carrying_light': 0.04285714285714286, 'waving_hand': 0.01904761904761905, 'pushing': 0.016666666666666666, 'picking_up': 0.014285714285714285, 'pointing': 0.011904761904761904, 'kicking': 0.009523809523809525, 'talking': 0.007142857142857143, 'entering': 0.004761904761904762, 'pulling': 0.002380952380952381, 'inf_result': 628048.4997366538}",
3b9217be-5577-42b2-b035-1f98f1c6e515,7,0.0069892978461229,minirocket_v5,v5,hp_z240,4ff6c1f2-3a2a-4747-b8ce-e7c85abf76f7,False,orientation,0ec626c5-3207-4273-9582-11a81afb0286,"{'transferring_object': 0.36065573770491804, 'looking_around': 0.09836065573770492, 'sitting_down': 0.09016393442622951, 'running': 0.08196721311475409, 'pointing': 0.07377049180327869, 'waving_hand': 0.06557377049180328, 'pocket_out': 0.05737704918032787, 'standing_up': 0.04918032786885246, 'using_phone': 0.040983606557377046, 'walking': 0.03278688524590164, 'entering': 0.02459016393442623, 'kicking': 0.01639344262295082, 'setting_down': 0.00819672131147541, 'inf_result': 628048.5627927947}",
3b9217be-5577-42b2-b035-1f98f1c6e515,1,0.0088642940958922,minirocket_v14,v14,beelinkser8,645d4e55-7b8c-4c60-bdac-9780f19cf7f4,True,gyro,a37ac1b1-b4f4-41bf-bb91-146e3b9af935,"{'loitering': 0.6854838709677419, 'pushing': 0.04838709677419355, 'setting_down': 0.04435483870967742, 'pocket_in': 0.04032258064516129, 'pulling': 0.036290322580645164, 'carrying_heavy': 0.03225806451612903, 'Carrying_light': 0.028225806451612902, 'pocket_out': 0.024193548387096774, 'using_pc': 0.020161290322580645, 'standing': 0.016129032258064516, 'pointing': 0.012096774193548387, 'transferring_object': 0.008064516129032258, 'closing': 0.004032258064516129, 'inf_result': 628048.901656079}",
3b9217be-5577-42b2-b035-1f98f1c6e515,5,0.0079748639947933,minirocket_v12,v12,precision_5820_tower,6926b145-0ac5-4245-9109-1b613f7cffc0,False,gyro,cc8fb397-4e9b-4204-a253-5f9881c17a38,"{'loitering': 0.4678362573099415, 'exiting': 0.07602339181286549, 'closing': 0.07017543859649122, 'pocket_out': 0.06432748538011696, 'carrying': 0.05847953216374269, 'Carrying_light': 0.05263157894736842, 'checking_time': 0.04678362573099415, 'entering': 0.04093567251461988, 'crouching': 0.03508771929824561, 'pocket_in': 0.029239766081871343, 'using_phone': 0.023391812865497075, 'drinking': 0.017543859649122806, 'opening': 0.011695906432748537, 'looking_around': 0.005847953216374269, 'inf_result': 628048.6140641455}",
3b9217be-5577-42b2-b035-1f98f1c6e515,10,0.0076735841960307,minirocket_v2,v2,jetson_agx_orin,4541db44-f56c-4c1c-a8b0-59028134e489,False,gyro,d3f76c0e-7c97-4607-a54e-c0a8ea1a749d,"{'loitering': 0.7053571428571429, 'talking': 0.049107142857142856, 'pointing': 0.044642857142857144, 'running': 0.04017857142857143, 'using_pc': 0.03571428571428571, 'picking_up': 0.03125, 'pocket_in': 0.026785714285714284, 'walking': 0.022321428571428572, 'pocket_out': 0.017857142857142856, 'kicking': 0.013392857142857142, 'using_phone': 0.008928571428571428, 'crouching': 0.004464285714285714, 'inf_result': 628048.5226318738}",
3b9217be-5577-42b2-b035-1f98f1c6e515,2,0.1810811043545937,x3d_l_v3,v3,precision_5820_tower,7ee6caa9-a6ff-4452-97d2-e16413593391,True,video,4d75ffc2-4bba-4441-a10f-a668f0e08be0,"{'loitering': 0.6350974930362117, 'checking_time': 0.181058495821727, 'waving_hand': 0.03064066852367688, 'running': 0.027855153203342618, 'kicking': 0.025069637883008356, 'pulling': 0.022284122562674095, 'carrying_heavy': 0.019498607242339833, 'talking': 0.016713091922005572, 'drinking': 0.013927576601671309, 'Carrying_light': 0.011142061281337047, 'pocket_out': 0.008356545961002786, 'transferring_object': 0.005571030640668524, 'picking_up': 0.002785515320334262, 'inf_result': 628048.7818079836}",
3b9217be-5577-42b2-b035-1f98f1c6e515,3,0.051591017219942,x3d_s_v2,v2,jetson_agx_orin,81d0861b-e073-4a1b-b9ed-cd727c3f2def,False,video,f36f40e9-c13c-451e-904d-078d0d12e5e2,"{'carrying_heavy': 0.5938566552901023, 'pocket_in': 0.18088737201365188, 'pulling': 0.03754266211604096, 'loitering': 0.034129692832764506, 'setting_down': 0.030716723549488054, 'pointing': 0.027303754266211604, 'picking_up': 0.023890784982935155, 'pocket_out': 0.020477815699658702, 'Carrying_light': 0.017064846416382253, 'using_pc': 0.013651877133105802, 'looking_around': 0.010238907849829351, 'standing': 0.006825938566552901, 'closing': 0.0034129692832764505, 'inf_result': 628048.713383949}",
3b9217be-5577-42b2-b035-1f98f1c6e515,10,0.1209274892856184,x3d_m_v3,v3,jetson_super_nano,1d48e4ed-7aba-485e-b409-d297bc23e082,False,video,1d2bff9b-3391-4961-9924-7fa1cfef03e1,"{'loitering': 0.640495867768595, 'sitting_down': 0.19421487603305784, 'pocket_in': 0.049586776859504134, 'closing': 0.028925619834710745, 'jumping': 0.024793388429752067, 'standing_up': 0.02066115702479339, 'running': 0.01652892561983471, 'using_pc': 0.012396694214876033, 'Carrying_light': 0.008264462809917356, 'pulling': 0.004132231404958678, 'inf_result': 628048.7781624157}",
3b9217be-5577-42b2-b035-1f98f1c6e515,1,0.0067227838557648,minirocket_v16,v16,beelinkser8,31512b13-3837-415c-b39f-8126a4436a41,True,acc_watch,f3c3393e-0915-4fed-8506-41401662781f,"{'running': 0.5, 'carrying_heavy': 0.07142857142857142, 'pulling': 0.06593406593406594, 'waving_hand': 0.06043956043956044, 'closing': 0.054945054945054944, 'loitering': 0.04945054945054945, 'walking': 0.04395604395604396, 'talking': 0.038461538461538464, 'throwing': 0.03296703296703297, 'kicking': 0.027472527472527472, 'opening': 0.02197802197802198, 'carrying': 0.016483516483516484, 'sitting_down': 0.01098901098901099, 'checking_time': 0.005494505494505495, 'inf_result': 628049.087036703}",
