query_id,ground_truth
43f34a61-96c2-4e8b-bf94-4b7a1b618375,waving_hand
1482f619-8a42-42ae-a167-ecbe53815422,running
98d6dfac-0802-47cc-97ed-6ce9d178d1ff,carrying_light
920d6f0d-0f80-467e-b9c5-84a19ee122d5,walking
b17eabea-9601-4547-99f2-dc891deea585,closing
a3b1225c-71a4-411a-8ed6-da5eac2118d3,picking_up
274c8f27-4614-4056-bac8-f1a53d14f0a3,carrying_heavy
fcb9eb5e-2f1d-4176-bac1-32c4f3f0ad5c,waving_hand
8e021d83-04fd-4b94-9de3-143b4b542bb7,pocket_in
e60b3266-0e01-4b69-a341-5a9d822da518,transferring_object
7dba4989-b0cd-451a-8d6d-a946042b8cba,picking_up
13f837fe-4d3d-41fc-bdbf-58545a05443a,setting_down
7d38cd4b-4f50-4f4f-9a70-485ab904e44f,walking
00c788b9-a2cf-44ff-a4e2-87be177432e1,opening
8601bcbd-2f34-4519-b5f0-f639ba39d7f1,throwing
b9c6f050-f1eb-43b0-9e81-6dd129b88b24,talking_on_phone
f2a5d09f-fd9e-478a-96cf-25c17a6ad240,pulling
efe50c48-cc32-4c07-b026-5b9a363cd0d0,exiting
67d6f439-26f8-4a51-bf30-56749387f63b,fall
a64c5c16-5586-4d48-bb00-ad5f5aa5075d,transferring_object
cb0322cb-07ae-4cd4-98a4-16fa5a10616b,standing
37457250-1163-4720-a7d7-887e5bf5be86,talking_on_phone
0577fc12-f7f4-44b7-a098-b2fef48ff16c,setting_down
e9fe16f3-c7a1-4f99-ba7e-ae271b2be044,entering
e488227a-652f-4853-b281-79960333e3ef,running
5c9161dd-0c2b-4d92-ba60-300501a46bb9,standing
6ae71778-17f8-4e9a-b10c-581f7eb5fd4e,carrying
61a3d363-056a-49c0-9b1c-343340151c34,throwing
98fb3729-63ac-4ec3-9b88-07089a8ceebc,sitting_down
56fa70ec-a821-414b-bcd4-d43af759f748,throwing
582486dc-259f-4d33-8d2c-e4783a22b30d,carrying
f0004234-c73f-491a-bd1b-ba6c237bd09b,carrying
5d480f96-e904-4074-8926-966210c50599,carrying
1a52a6bf-58aa-4988-896e-c48f3f302283,using_pc
a03be5ae-6465-4c2d-a969-3fced0b240a5,carrying_heavy
b0596e8f-b3e9-47cb-9335-3303e1818500,pocket_in
bffdf86e-9143-44ab-a194-7e45099a2357,pulling
bb4bb250-c76d-4699-8f7c-f7ec8a714869,running
3e94dd99-5ad3-43ba-9c09-8eac95aa10ce,closing
c32860c7-c4c8-4a44-925f-eaa6562ada33,carrying
7d4403dd-a8b8-4fcc-b42e-e7ddc9c41329,walking
9abe7d09-b3a7-4bee-bb32-ac938b5ea65f,crouching
da6c7ceb-ecdf-4d07-8d3a-db37a32ab1c0,using_phone
faac3e29-f5dc-4442-9cba-89d4c90e34b8,carrying_light
1c39c7b9-2028-43fd-be16-f46f67199ce9,standing_up
32817205-b36a-45a7-b78c-52902f473a8e,pointing
a5f35359-1596-401d-a8e1-4a8fe3707efc,throwing
11d06d5e-2414-4d7c-9d83-bf8b10e5c49b,carrying_light
fd61c480-de9a-4dd7-b707-b9a06e62c704,drinking
f2852e85-8eec-4107-b1d4-342ed29348c7,pushing
97d98c48-a8cc-498a-a964-92df3c69b361,sitting
3ca2d0a2-3be0-41a8-a90c-e33adaacddf0,setting_down
7575959f-be43-4b68-9be4-8e91c43a9208,using_pc
322a55a9-bf4d-4106-b505-b03df654b0e5,throwing
28a9e947-42c3-41e8-a0a6-5ef3c91f335f,pocket_in
d59c0e12-4eaa-4546-9306-2bf3bf55ea40,crouching
f63e2fb4-1104-49fa-948c-c5feb2288169,drinking
3b868f83-0843-493a-9d1d-7713a25135a2,carrying_light
f4939013-85e6-44d3-9d8a-c7525c50db33,talking_on_phone
206d9ee9-dcf8-419c-b570-93728a9b872f,looking_around
074e6ef2-3a7b-4976-a087-e949db6b314e,carrying_light
19e18e11-c445-4d11-9b30-1775f9717610,pointing
bf46d90d-9b4e-44f0-b840-78ab6b83892e,setting_down
870b3c36-452d-42b8-bd26-16c0a47fe98d,standing
993cb0b6-c961-4cb0-ab3e-bfffc8220def,kicking
496daf8f-ab79-4ad9-87a9-3139d297d35e,talking_on_phone
4b296369-2b6f-404e-9899-80395c9f99a9,drinking
4315a61b-542b-4742-af96-eade89dd8a88,using_pc
d2d1a226-fb0d-4dca-a3d3-f0636c07e0aa,Carrying_light
9c713bd3-0672-4a2a-8061-182ea8b7ab23,setting_down
a2146185-4c6b-4fde-a338-133b028953ac,jumping
ba3bb22f-99b2-44f0-ba28-8d32ceaabcae,pushing
c43711da-b996-473a-98a7-382e99d33283,pointing
ed1d5960-1566-4ca9-a166-e8ec8b7e5bca,pocket_out
900e37c4-1e9a-4007-8231-84c34446287f,kicking
c39370ae-60be-4c6e-8be4-01c9c902812e,standing_up
f23aa633-9e48-4c5b-ad44-9212f150156c,fall
bc185676-9964-495c-b4ce-fd9fa473a0be,pocket_out
19d5ecb7-aa78-435c-92eb-d9c802957fcf,crouching
f2db05cc-cd83-4ddd-b348-ae3e509fc1c4,pocket_in
1a10a3aa-0fad-48a7-b2a3-a0fc23fcd6e2,sitting
3cdd578d-9e13-4519-8d37-abce7e862cc0,jumping
fd22b31a-c55d-432b-baa8-04168ae50f0b,running
de44a0af-83c7-4d65-9a8f-1affa2dd0f76,carrying_heavy
5324e6c3-a1f2-4631-9b4d-a7aacecd75e4,loitering
88ded146-75b4-463a-8d1d-639569163aca,Carrying_light
e2371fd0-9c1e-44e4-824c-32f3abc08ad5,closing
676486b3-1a16-4aa7-84b0-92854259f207,checking_time
165d1af7-5a35-4778-bdee-9e66028f5d46,crouching
abddbbf6-5c59-46d2-badf-6cc03372a916,Carrying_light
37719425-65d1-41b8-8dd9-0a29351994cc,sitting
66152b05-e148-4103-a45d-d6bc37a47362,sitting
ac9cdd99-9e7a-46ff-9b63-a70b6671f372,sitting
9b7ef3e7-2fe5-4a8c-9154-eb3bb273021f,talking
b1e17c7c-e902-4838-b779-a6bce7718734,carrying_light
245f232a-47a1-4e9a-bae6-d87c12008e5f,using_phone
0392e2be-23ae-400e-b7a2-cfc038d06b61,carrying_light
30c142e9-9be1-47a3-8ddf-e367af0e1259,closing
d60e4a92-37cb-42f4-b327-36ffd4474218,pointing
e2b9483f-3acb-4562-862a-6a9691afda82,opening
