,target,model,img_height,img_width,img_channels,accuracy,confidence,obj_height,obj_width,obj_width,obj_height_p,obj_width_p,xmin,xmax,ymin,ymax
0,bicycle,yolov5l,640,427,3,1,0.9227610230445862,354.35302734375,281.23558044433594,281.23558044433594,55.36766052246094,65.8631335935213,62.87373352050781,344.10931396484375,256.8294677734375,611.1824951171875
0,bicycle,yolov5l,640,427,3,1,0.8716828227043152,122.02679443359375,65.670166015625,65.670166015625,19.066686630249023,15.379429980240047,360.3441162109375,426.0142822265625,291.6740417480469,413.7008361816406
0,bicycle,yolov5l,640,427,3,1,0.7401137351989746,182.20904541015625,112.28242492675781,112.28242492675781,28.470163345336914,26.295649865751244,0.0,112.28242492675781,320.5922546386719,502.8013000488281
0,bicycle,yolov5l,640,427,3,1,0.5660752654075623,76.09222412109375,85.80105209350586,85.80105209350586,11.889410018920898,20.093923206910038,23.659671783447266,109.46072387695312,277.7893981933594,353.8816223144531
0,bicycle,yolov5l,640,427,3,1,0.9079986214637756,157.21337890625,226.79576110839844,226.79576110839844,24.564590454101562,53.11376138369987,121.09925842285156,347.89501953125,217.08917236328125,374.30255126953125
0,bicycle,yolov5l,480,640,3,1,0.37925487756729126,156.25184631347656,349.0191192626953,349.0191192626953,32.55246798197428,54.53423738479614,94.60423278808594,443.62335205078125,224.3383026123047,380.59014892578125
0,bicycle,yolov5l,480,640,3,1,0.7261477112770081,467.48602294921875,456.67144775390625,456.67144775390625,97.3929214477539,71.35491371154785,108.328369140625,564.9998168945312,0.0,467.48602294921875
0,bicycle,yolov5l,480,640,3,1,0.8581104278564453,355.52508544921875,508.8017120361328,508.8017120361328,74.0677261352539,79.50026750564575,86.95384216308594,595.7555541992188,36.03826904296875,391.5633544921875
0,bicycle,yolov5l,640,480,3,1,0.6454302072525024,117.88552856445312,109.509521484375,109.509521484375,18.4196138381958,22.814483642578125,368.26361083984375,477.77313232421875,466.9989929199219,584.884521484375
0,bicycle,yolov5l,640,480,3,1,0.37105241417884827,27.308799743652344,33.04534912109375,33.04534912109375,4.266999959945679,6.884447733561198,441.219482421875,474.26483154296875,109.45243072509766,136.76123046875
0,bicycle,yolov5l,640,480,3,1,0.5304405093193054,22.06353759765625,38.31451416015625,38.31451416015625,3.447427749633789,7.982190450032552,431.9400939941406,470.2546081542969,119.18341064453125,141.2469482421875
0,bicycle,yolov5l,640,480,3,1,0.3623528480529785,28.77587890625,35.10150146484375,35.10150146484375,4.4962310791015625,7.312812805175781,291.08544921875,326.18695068359375,153.8719482421875,182.6478271484375
0,bicycle,yolov5l,640,480,3,1,0.3242141604423523,24.1221923828125,33.64788818359375,33.64788818359375,3.769092559814453,7.009976704915364,335.35821533203125,369.006103515625,130.64047241210938,154.76266479492188
