target,model,img,img_height,img_width,img_channels,accuracy,confidence,obj_height,obj_width,obj_height_p,obj_width_p,xmin,xmax,ymin,ymax
bicycle,yolov5l,6771874127_f8f380b3cb_z.jpg,425,640,3,0,0,0,0,0,0,0,0,0,0
bicycle,yolov5l,6141562070_11880edf2e_z.jpg,425,639,3,0,0,0,0,0,0,0,0,0,0
bicycle,yolov5l,8291522231_19e1414c1b_z.jpg,612,612,3,0,0,0,0,0,0,0,0,0,0
bicycle,yolov5l,16675918410_cc9588a553_z.jpg,359,640,3,0,0,0,0,0,0,0,0,0,0
bicycle,yolov5l,14265143426_0770389597_z.jpg,407,640,3,0,0,0,0,0,0,0,0,0,0
bicycle,yolov5l,8651904899_c2632fe751_z.jpg,427,640,3,0,0,0,0,0,0,0,0,0,0
bicycle,yolov5l,18068160735_6c2f214265_z.jpg,480,640,3,0,0,0,0,0,0,0,0,0,0
bicycle,yolov5l,3604271495_1cacccec06_z.jpg,427,640,3,0,0,0,0,0,0,0,0,0,0
bicycle,yolov5l,51712355_49c2e95899_z.jpg,427,640,3,0,0,0,0,0,0,0,0,0,0
bicycle,yolov5l,14628257582_1ff5e98e4c_z.jpg,400,640,3,0,0,0,0,0,0,0,0,0,0
bicycle,yolov5l,19474810921_d2f23de0fc_z.jpg,480,640,3,0,0,0,0,0,0,0,0,0,0
bicycle,yolov5l,1511658057_17b7bac11a_z.jpg,398,640,3,0,0,0,0,0,0,0,0,0,0
bicycle,yolov5l,6102395478_8c004e1142_z.jpg,480,640,3,0,0,0,0,0,0,0,0,0,0
bicycle,yolov5l,6117174227_6e5da0556b_z.jpg,640,427,3,0,0,0,0,0,0,0,0,0,0
car,yolov5l,17554656478_22dea58ed2_z.jpg,419,640,3,0,0,0,0,0,0,0,0,0,0
car,yolov5l,5490854064_57151abb4f_z.jpg,478,640,3,0,0,0,0,0,0,0,0,0,0
car,yolov5l,3595778703_d3bec2f74e_z.jpg,640,479,3,0,0,0,0,0,0,0,0,0,0
car,yolov5l,19577109682_a0282d8678_z.jpg,458,640,3,0,0,0,0,0,0,0,0,0,0
car,yolov5l,2468082692_49ec682990_z.jpg,480,640,3,0,0,0,0,0,0,0,0,0,0
car,yolov5l,2918687630_5108e3e2ab_z.jpg,427,640,3,0,0,0,0,0,0,0,0,0,0
car,yolov5l,5333910985_ea4e62f651_z.jpg,480,640,3,0,0,0,0,0,0,0,0,0,0
car,yolov5l,2166320847_63a04a9303_z.jpg,427,640,3,0,0,0,0,0,0,0,0,0,0
cat,yolov5l,7175939730_9a03853d4c_z.jpg,480,640,3,0,0,0,0,0,0,0,0,0,0
cat,yolov5l,5974549533_83d56b822d_z.jpg,424,640,3,0,0,0,0,0,0,0,0,0,0
