,target,model,img_height,img_width,img_channels,accuracy,confidence,obj_height,obj_width,obj_width,obj_height_p,obj_width_p,xmin,xmax,ymin,ymax
0,bicycle,yolov8l,640,427,3,1,0.9518895149230957,358.0,285.0,285.0,55.9375,66.7447306791569,61.0,346.0,253.0,611.0
0,bicycle,yolov8l,640,427,3,1,0.893700122833252,173.0,111.0,111.0,27.03125,25.995316159250585,0.0,111.0,329.0,502.0
0,bicycle,yolov8l,640,427,3,1,0.8790858387947083,140.0,65.0,65.0,21.875,15.22248243559719,361.0,426.0,274.0,414.0
0,bicycle,yolov8l,640,427,3,1,0.44076013565063477,52.0,81.0,81.0,8.125,18.969555035128806,24.0,105.0,301.0,353.0
0,bicycle,yolov8l,640,427,3,1,0.9308423399925232,157.0,227.0,227.0,24.53125,53.1615925058548,121.0,348.0,218.0,375.0
0,bicycle,yolov8l,480,640,3,1,0.9365156888961792,156.0,345.0,345.0,32.5,53.90625,98.0,443.0,224.0,380.0
0,bicycle,yolov8l,480,640,3,1,0.6052123308181763,64.0,114.0,114.0,13.333333333333334,17.8125,91.0,205.0,229.0,293.0
0,bicycle,yolov8l,480,640,3,1,0.32468733191490173,97.0,132.0,132.0,20.208333333333332,20.625,311.0,443.0,226.0,323.0
0,bicycle,yolov8l,480,640,3,1,0.6305640339851379,415.0,380.0,380.0,86.45833333333333,59.375,184.0,564.0,57.0,472.0
0,bicycle,yolov8l,480,640,3,1,0.4956575930118561,194.0,112.0,112.0,40.416666666666664,17.5,151.0,263.0,131.0,325.0
0,bicycle,yolov8l,480,640,3,1,0.9279629588127136,352.0,516.0,516.0,73.33333333333333,80.625,84.0,600.0,36.0,388.0
0,bicycle,yolov8l,640,480,3,1,0.8961689472198486,95.0,79.0,79.0,14.84375,16.458333333333332,255.0,334.0,378.0,473.0
0,bicycle,yolov8l,640,480,3,1,0.840141236782074,117.0,111.0,111.0,18.28125,23.125,368.0,479.0,469.0,586.0
0,bicycle,yolov8l,640,480,3,1,0.7513993978500366,62.0,42.0,42.0,9.6875,8.75,190.0,232.0,294.0,356.0
0,bicycle,yolov8l,640,480,3,1,0.3425498306751251,22.0,40.0,40.0,3.4375,8.333333333333334,432.0,472.0,120.0,142.0
0,bicycle,yolov8l,480,640,3,1,0.967168927192688,401.0,533.0,533.0,83.54166666666667,83.28125,1.0,534.0,79.0,480.0
0,bicycle,yolov8l,426,640,3,1,0.9253700375556946,216.0,343.0,343.0,50.70422535211268,53.59375,60.0,403.0,156.0,372.0
0,bicycle,yolov8l,427,640,3,1,0.8476744890213013,168.0,379.0,379.0,39.34426229508197,59.21875,261.0,640.0,255.0,423.0
0,bicycle,yolov8l,427,640,3,1,0.2500177025794983,162.0,163.0,163.0,37.93911007025761,25.46875,262.0,425.0,262.0,424.0
0,bicycle,yolov8l,425,640,3,1,0.9560474753379822,158.0,320.0,320.0,37.1764705882353,50.0,202.0,522.0,264.0,422.0
0,bicycle,yolov8l,425,640,3,1,0.9126366376876831,90.0,167.0,167.0,21.176470588235293,26.09375,53.0,220.0,193.0,283.0
0,bicycle,yolov8l,425,640,3,1,0.809146523475647,89.0,36.0,36.0,20.941176470588236,5.625,0.0,36.0,190.0,279.0
0,bicycle,yolov8l,480,640,3,1,0.964739203453064,233.0,344.0,344.0,48.541666666666664,53.75,147.0,491.0,170.0,403.0
0,bicycle,yolov8l,612,612,3,1,0.9612635970115662,435.0,581.0,581.0,71.07843137254902,94.93464052287581,16.0,597.0,108.0,543.0
0,bicycle,yolov8l,426,640,3,1,0.9090899229049683,284.0,131.0,131.0,66.66666666666667,20.46875,407.0,538.0,62.0,346.0
0,bicycle,yolov8l,426,640,3,1,0.827741265296936,406.0,432.0,432.0,95.30516431924883,67.5,5.0,437.0,14.0,420.0
0,bicycle,yolov8l,426,640,3,1,0.33367249369621277,335.0,96.0,96.0,78.63849765258216,15.0,0.0,96.0,31.0,366.0
0,bicycle,yolov8l,426,640,3,1,0.28522807359695435,124.0,93.0,93.0,29.107981220657276,14.53125,547.0,640.0,299.0,423.0
0,bicycle,yolov8l,426,640,3,1,0.26257988810539246,400.0,283.0,283.0,93.89671361502347,44.21875,5.0,288.0,20.0,420.0
0,bicycle,yolov8l,425,640,3,1,0.92656010389328,407.0,640.0,640.0,95.76470588235294,100.0,0.0,640.0,4.0,411.0
0,bicycle,yolov8l,480,640,3,1,0.9639067053794861,283.0,444.0,444.0,58.958333333333336,69.375,148.0,592.0,71.0,354.0
