target,model,img,confidence,count,accuracy
bicycle,yolov5l,11484364375_4180af41fc_z.jpg,0.789461493,1,1
bicycle,yolov5l,1229448893_42c357ea12_z.jpg,0.740641654,1,1
bicycle,yolov5l,13368340424_5c1f322f72_z.jpg,0.901456952,1,1
bicycle,yolov5l,14265143426_0770389597_z.jpg,0,1,0
bicycle,yolov5l,14289042367_a041af95f4_z.jpg,0.709678173,1,1
bicycle,yolov5l,14628257582_1ff5e98e4c_z.jpg,0,1,0
bicycle,yolov5l,14652913468_5d3b2a39f1_z.jpg,0.51595217,1,1
bicycle,yolov5l,14757587416_892a95bf77_z.jpg,0.829860538,2,1
bicycle,yolov5l,14811525368_d8b774e40a_z.jpg,0.758595974,2,1
bicycle,yolov5l,1511658057_17b7bac11a_z.jpg,0,1,0
bicycle,yolov5l,15235483580_08696e0988_z.jpg,0.799221396,1,1
bicycle,yolov5l,15333662010_2f428f7e2f_z.jpg,0.749776085,3,1
bicycle,yolov5l,1553312291_c0cae48a37_z.jpg,0.7834451,3,1
bicycle,yolov5l,159051371_77f7d02bb6_z.jpg,0.726147711,1,1
bicycle,yolov5l,16675918410_cc9588a553_z.jpg,0,1,0
bicycle,yolov5l,16679943419_b0fd9b6858_z.jpg,0.56632564,24,1
bicycle,yolov5l,18068160735_6c2f214265_z.jpg,0,1,0
bicycle,yolov5l,18608021442_84f7dcfa5c_z.jpg,0.379254878,1,1
bicycle,yolov5l,1908136167_cae3414e7e_z.jpg,0.519814048,9,1
bicycle,yolov5l,19474810921_d2f23de0fc_z.jpg,0,1,0
bicycle,yolov5l,2136213674_4e484d88e3_z.jpg,0.551024169,2,1
bicycle,yolov5l,21376683791_d98acff014_z.jpg,0.815244436,1,1
bicycle,yolov5l,2179537346_d695661bbc_z.jpg,0.626810789,1,1
bicycle,yolov5l,224422461_dddd4c8e99_z.jpg,0.320881893,3,1
bicycle,yolov5l,2258982401_762044a41d_z.jpg,0.928622425,1,1
bicycle,yolov5l,234597792_a9f1e7e7a9_z.jpg,0.325902358,2,1
bicycle,yolov5l,2746929519_3599d54cfb_z.jpg,0.841044813,2,1
bicycle,yolov5l,2784964324_0b0373fd24_z.jpg,0.917505324,1,1
bicycle,yolov5l,2788056049_b71f8998c7_z.jpg,0.416457325,6,1
bicycle,yolov5l,2882148223_72d4df2a8e_z.jpg,0.418053269,1,1
bicycle,yolov5l,2883059364_a6ccfaf69a_z.jpg,0.790575027,1,1
bicycle,yolov5l,296513213_9681371ed9_z.jpg,0.273442119,1,1
bicycle,yolov5l,3353007655_56889b94a7_z.jpg,0.894019246,1,1
bicycle,yolov5l,3446761063_9cdc26f36c_z.jpg,0.947925627,1,1
bicycle,yolov5l,3452990622_cfb5fba34a_z.jpg,0.618454444,5,1
bicycle,yolov5l,3604271495_1cacccec06_z.jpg,0,1,0
bicycle,yolov5l,3666190087_ca2fb0d709_z.jpg,0.858110428,1,1
bicycle,yolov5l,3685504815_c15a389bd3_z.jpg,0.79048121,1,1
bicycle,yolov5l,3715997008_28a251eba7_z.jpg,0.264840633,1,1
bicycle,yolov5l,3747524_f07f508ba9_z.jpg,0.808271289,1,1
bicycle,yolov5l,4065552857_98aa8a39d4_z.jpg,0.739797056,4,1
bicycle,yolov5l,414586991_9630094229_z.jpg,0.434430361,2,1
bicycle,yolov5l,4349979920_189df35e15_z.jpg,0.797053814,1,1
bicycle,yolov5l,4484760806_dc814d2ce2_z.jpg,0.925464213,1,1
bicycle,yolov5l,4625462281_7df55484bb_z.jpg,0.578377907,6,1
bicycle,yolov5l,4763265058_6c6dbb9abe_z.jpg,0.374859697,5,1
bicycle,yolov5l,5021039430_0cda148fd5_z.jpg,0.775158212,4,1
bicycle,yolov5l,51712355_49c2e95899_z.jpg,0,1,0
bicycle,yolov5l,5402229494_570e48f7f9_z.jpg,0.657266319,2,1
bicycle,yolov5l,541124874_7247349bb7_z.jpg,0.735111534,5,1
bicycle,yolov5l,5506132265_d6d43548eb_z.jpg,0.655155599,1,1
bicycle,yolov5l,5599702283_8562638984_z.jpg,0.744572937,1,1
bicycle,yolov5l,5708252159_5b4ac86a01_z.jpg,0.840192944,2,1
bicycle,yolov5l,5816846412_7b6fa97da0_z.jpg,0.370357841,1,1
